GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ppmtool,com.hcl.ppmtool.web,UserController,69,7,4,0,18,2,4,1,2,1
ppmtool,com.hcl.ppmtool.web,ProjectController,54,3,2,0,9,1,5,1,4,1
ppmtool,com.hcl.ppmtool.web,BacklogController,82,3,4,0,13,1,7,1,5,1
ppmtool,com.hcl.ppmtool.domain,Backlog,35,12,0,0,15,4,10,1,10,1
ppmtool,com.hcl.ppmtool.domain,User,33,73,0,0,14,28,11,14,11,14
ppmtool,com.hcl.ppmtool.domain,Project,38,69,0,0,16,29,10,16,10,16
ppmtool,com.hcl.ppmtool.domain,ProjectTask,113,3,0,0,38,2,25,1,25,1
ppmtool,com.hcl.ppmtool.validator,UserValidator,29,3,4,0,7,1,4,1,2,1
ppmtool,com.hcl.ppmtool.exceptions,ProjectNotFoundException,4,0,0,0,2,0,1,0,1,0
ppmtool,com.hcl.ppmtool.exceptions,UsernameAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
ppmtool,com.hcl.ppmtool.exceptions,ProjectIdException,4,0,0,0,2,0,1,0,1,0
ppmtool,com.hcl.ppmtool.exceptions,ProjectNotFoundExceptionResponse,13,0,0,0,6,0,3,0,3,0
ppmtool,com.hcl.ppmtool.exceptions,CustomResponseEntityExceptionHandler,36,3,0,0,6,1,3,1,3,1
ppmtool,com.hcl.ppmtool.exceptions,UsernameAlreadyExistsResponse,13,0,0,0,6,0,3,0,3,0
ppmtool,com.hcl.ppmtool.exceptions,InvalidLoginResponse,23,0,0,0,10,0,5,0,5,0
ppmtool,com.hcl.ppmtool.exceptions,ProjectIdExceptionResponse,13,0,0,0,6,0,3,0,3,0
ppmtool,com.hcl.ppmtool,PpmtoolApplication,8,11,0,0,3,3,1,3,1,3
ppmtool,com.hcl.ppmtool.services,ProjectTaskService,136,7,12,0,28,2,11,1,5,1
ppmtool,com.hcl.ppmtool.services,UserService,8,27,0,0,2,6,0,3,0,3
ppmtool,com.hcl.ppmtool.services,ProjectService,130,3,16,0,29,1,12,1,4,1
ppmtool,com.hcl.ppmtool.services,CustomUserDetailsService,28,3,4,0,8,1,4,1,2,1
ppmtool,com.hcl.ppmtool.services,MapValidationErrorService,34,3,4,0,7,1,3,1,1,1
ppmtool,com.hcl.ppmtool.logging,LogConnectionFactory,0,21,0,2,0,7,0,2,0,1
ppmtool,com.hcl.ppmtool.security,JwtTokenProvider,116,7,0,0,32,2,3,1,3,1
ppmtool,com.hcl.ppmtool.security,JwtAuthenticationEntryPoint,21,3,0,0,6,1,1,1,1,1
ppmtool,com.hcl.ppmtool.security,SecurityConfig,0,113,0,0,0,20,0,5,0,5
ppmtool,com.hcl.ppmtool.security,JwtAuthenticationFilter,70,3,8,0,17,1,6,1,2,1
ppmtool,com.hcl.ppmtool.security,SecurityConstants,7,0,0,0,2,0,1,0,1,0
ppmtool,com.hcl.ppmtool.payload,LoginRequest,17,0,0,0,7,0,5,0,5,0
ppmtool,com.hcl.ppmtool.payload,JWTLoginSucessResponse,29,0,0,0,11,0,6,0,6,0
